sampler,fold,Base,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ration,ic.m0
Latin Hypercube (nn),12,0.98125,0.9822916666666667,0.91875,0.98125,0.9770833333333333,0.9802083333333333
Latin Hypercube (nn),13,0.9822916666666667,0.9760416666666667,0.93125,0.9760416666666667,0.9760416666666667,0.978125
Latin Hypercube (nn),14,0.9854166666666667,0.9864583333333333,0.9208333333333333,0.984375,0.971875,0.9760416666666667
Latin Hypercube (nn),15,0.9708333333333333,0.978125,0.9145833333333333,0.971875,0.965625,0.98125
Latin Hypercube (nn),16,0.9854166666666667,0.9822916666666667,0.9239583333333333,0.9833333333333333,0.978125,0.98125
Latin Hypercube (nn),17,0.9885416666666667,0.9885416666666667,0.9364583333333333,0.9833333333333333,0.9833333333333333,0.98125
Latin Hypercube (nn),18,0.9854166666666667,0.9833333333333333,0.91875,0.9833333333333333,0.9739583333333334,0.9864583333333333
Latin Hypercube (nn),19,0.9822916666666667,0.98125,0.921875,0.9822916666666667,0.978125,0.9854166666666667
Latin Hypercube (nn),20,0.975,0.98125,0.928125,0.9677083333333333,0.96875,0.9666666666666667
Latin Hypercube (nn),21,0.9833333333333333,0.9885416666666667,0.928125,0.978125,0.9697916666666667,0.9760416666666667
Latin Hypercube (nn),22,0.9864583333333333,0.9854166666666667,0.9135416666666667,0.9822916666666667,0.9770833333333333,0.9875
Latin Hypercube (nn),23,0.975,0.9770833333333333,0.9208333333333333,0.971875,0.9739583333333334,0.971875
Latin Hypercube (nn),24,0.9885416666666667,0.9854166666666667,0.9354166666666667,0.984375,0.984375,0.9864583333333333
Latin Hypercube (nn),25,0.9802083333333333,0.9791666666666666,0.9135416666666667,0.9770833333333333,0.9739583333333334,0.9822916666666667
Latin Hypercube (nn),26,0.9833333333333333,0.98125,0.921875,0.975,0.978125,0.9770833333333333
Latin Hypercube (nn),27,0.9854166666666667,0.9833333333333333,0.91875,0.9822916666666667,0.9770833333333333,0.9802083333333333
Latin Hypercube (nn),28,0.9739583333333334,0.9875,0.9229166666666667,0.9697916666666667,0.971875,0.978125
Latin Hypercube (nn),29,0.98125,0.9791666666666666,0.928125,0.9802083333333333,0.975,0.9770833333333333
Latin Hypercube (nn),30,0.975,0.975,0.9145833333333333,0.9677083333333333,0.9708333333333333,0.978125
Latin Hypercube (nn),31,0.9895833333333334,0.9885416666666667,0.9375,0.9854166666666667,0.9697916666666667,0.984375
Latin Hypercube (nn),32,0.9833333333333333,0.9854166666666667,0.9260416666666667,0.9791666666666666,0.975,0.98125
Latin Hypercube (nn),33,0.984375,0.98125,0.915625,0.9802083333333333,0.984375,0.984375
Latin Hypercube (nn),34,0.9822916666666667,0.9791666666666666,0.9333333333333333,0.9739583333333334,0.96875,0.9854166666666667
Latin Hypercube (nn),35,0.978125,0.9760416666666667,0.9333333333333333,0.975,0.9770833333333333,0.9760416666666667
Latin Hypercube (nn),36,0.9802083333333333,0.978125,0.9375,0.9760416666666667,0.9791666666666666,0.9854166666666667
Latin Hypercube (nn),37,0.9770833333333333,0.9770833333333333,0.90625,0.965625,0.9614583333333333,0.975
Latin Hypercube (nn),38,0.9916666666666667,0.9864583333333333,0.9375,0.9895833333333334,0.9822916666666667,0.9916666666666667
Latin Hypercube (nn),39,0.98125,0.9822916666666667,0.93125,0.9760416666666667,0.971875,0.9854166666666667
Latin Hypercube (nn),40,0.9791666666666666,0.984375,0.9135416666666667,0.9760416666666667,0.971875,0.9697916666666667
