sampler,fold,Base,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ration,ic.m0
Latin Hypercube (nn),1,0.9822916666666667,0.9229166666666667,0.49895833333333334,0.9197916666666667,0.884375,0.7791666666666667
Latin Hypercube (nn),2,0.98125,0.9104166666666667,0.5375,0.9114583333333334,0.8677083333333333,0.7770833333333333
Latin Hypercube (nn),3,0.9802083333333333,0.921875,0.51875,0.871875,0.8791666666666667,0.7625
Latin Hypercube (nn),4,0.978125,0.925,0.5135416666666667,0.9052083333333333,0.8822916666666667,0.7739583333333333
Latin Hypercube (nn),5,0.9864583333333333,0.921875,0.475,0.8864583333333333,0.8864583333333333,0.7770833333333333
Latin Hypercube (nn),6,0.9802083333333333,0.9166666666666666,0.5541666666666667,0.9135416666666667,0.8625,0.7572916666666667
Latin Hypercube (nn),7,0.9864583333333333,0.9302083333333333,0.5083333333333333,0.875,0.8802083333333334,0.7739583333333333
Latin Hypercube (nn),8,0.9822916666666667,0.9166666666666666,0.5135416666666667,0.9041666666666667,0.846875,0.7572916666666667
Latin Hypercube (nn),9,0.9854166666666667,0.9208333333333333,0.4979166666666667,0.9229166666666667,0.89375,0.7802083333333333
Latin Hypercube (nn),10,0.9770833333333333,0.9229166666666667,0.5229166666666667,0.9145833333333333,0.8604166666666667,0.7427083333333333
Latin Hypercube (nn),11,0.978125,0.909375,0.51875,0.875,0.865625,0.784375
Latin Hypercube (nn),12,0.9760416666666667,0.9177083333333333,0.509375,0.8708333333333333,0.8875,0.7541666666666667
Latin Hypercube (nn),13,0.9854166666666667,0.9135416666666667,0.5145833333333333,0.94375,0.8854166666666666,0.765625
Latin Hypercube (nn),14,0.984375,0.9302083333333333,0.49270833333333336,0.9125,0.8802083333333334,0.809375
Latin Hypercube (nn),15,0.9864583333333333,0.921875,0.5072916666666667,0.859375,0.8927083333333333,0.7739583333333333
Latin Hypercube (nn),16,0.98125,0.915625,0.4979166666666667,0.8927083333333333,0.8760416666666667,0.7635416666666667
Latin Hypercube (nn),17,0.9885416666666667,0.9333333333333333,0.5333333333333333,0.89375,0.8739583333333333,0.765625
Latin Hypercube (nn),18,0.9875,0.9302083333333333,0.4979166666666667,0.8885416666666667,0.9010416666666666,0.7770833333333333
Latin Hypercube (nn),19,0.9833333333333333,0.921875,0.5208333333333334,0.8760416666666667,0.8625,0.803125
Latin Hypercube (nn),20,0.9760416666666667,0.9208333333333333,0.503125,0.8666666666666667,0.89375,0.7625
Latin Hypercube (nn),21,0.978125,0.903125,0.5072916666666667,0.9166666666666666,0.8510416666666667,0.7510416666666667
Latin Hypercube (nn),22,0.9760416666666667,0.925,0.50625,0.8916666666666667,0.8645833333333334,0.7583333333333333
Latin Hypercube (nn),23,0.9864583333333333,0.9322916666666666,0.5104166666666666,0.9166666666666666,0.8208333333333333,0.7864583333333334
Latin Hypercube (nn),24,0.9791666666666666,0.915625,0.5333333333333333,0.8989583333333333,0.8739583333333333,0.7802083333333333
Latin Hypercube (nn),25,0.9802083333333333,0.91875,0.46770833333333334,0.9270833333333334,0.896875,0.746875
Latin Hypercube (nn),26,0.9854166666666667,0.9229166666666667,0.5052083333333334,0.9125,0.8635416666666667,0.7677083333333333
Latin Hypercube (nn),27,0.9854166666666667,0.91875,0.5125,0.91875,0.9197916666666667,0.753125
Latin Hypercube (nn),28,0.984375,0.925,0.515625,0.9114583333333334,0.896875,0.7614583333333333
Latin Hypercube (nn),29,0.9864583333333333,0.91875,0.5322916666666667,0.9083333333333333,0.8625,0.7833333333333333
Latin Hypercube (nn),30,0.9864583333333333,0.9302083333333333,0.478125,0.8677083333333333,0.8895833333333333,0.75625
Latin Hypercube (nn),31,0.9770833333333333,0.91875,0.5114583333333333,0.8822916666666667,0.86875,0.8145833333333333
Latin Hypercube (nn),32,0.9822916666666667,0.9229166666666667,0.5125,0.9052083333333333,0.8864583333333333,0.7583333333333333
Latin Hypercube (nn),33,0.984375,0.9135416666666667,0.5041666666666667,0.9114583333333334,0.8604166666666667,0.7947916666666667
Latin Hypercube (nn),34,0.98125,0.9333333333333333,0.5041666666666667,0.9010416666666666,0.8802083333333334,0.7614583333333333
Latin Hypercube (nn),35,0.9854166666666667,0.9197916666666667,0.5083333333333333,0.9010416666666666,0.890625,0.7510416666666667
Latin Hypercube (nn),36,0.9802083333333333,0.928125,0.47604166666666664,0.896875,0.875,0.775
Latin Hypercube (nn),37,0.9864583333333333,0.9302083333333333,0.5166666666666667,0.90625,0.890625,0.7770833333333333
Latin Hypercube (nn),38,0.9770833333333333,0.9208333333333333,0.490625,0.8614583333333333,0.90625,0.7489583333333333
Latin Hypercube (nn),39,0.9802083333333333,0.9145833333333333,0.51875,0.9010416666666666,0.8916666666666667,0.7822916666666667
Latin Hypercube (nn),40,0.9822916666666667,0.9208333333333333,0.5125,0.8802083333333334,0.878125,0.7614583333333333
Latin Hypercube (nn),41,0.9822916666666667,0.9239583333333333,0.490625,0.9114583333333334,0.8895833333333333,0.765625
Latin Hypercube (nn),42,0.9833333333333333,0.925,0.490625,0.896875,0.8802083333333334,0.8083333333333333
Latin Hypercube (nn),43,0.984375,0.9229166666666667,0.48333333333333334,0.890625,0.8927083333333333,0.7895833333333333
Latin Hypercube (nn),44,0.9770833333333333,0.9135416666666667,0.5197916666666667,0.9291666666666667,0.8604166666666667,0.775
Latin Hypercube (nn),45,0.9854166666666667,0.91875,0.5145833333333333,0.91875,0.8729166666666667,0.7833333333333333
Latin Hypercube (nn),46,0.9854166666666667,0.9177083333333333,0.5229166666666667,0.8614583333333333,0.8895833333333333,0.7677083333333333
Latin Hypercube (nn),47,0.9864583333333333,0.9145833333333333,0.4875,0.8864583333333333,0.8645833333333334,0.7947916666666667
Latin Hypercube (nn),48,0.98125,0.921875,0.496875,0.915625,0.85625,0.7854166666666667
Latin Hypercube (nn),49,0.9864583333333333,0.9322916666666666,0.5229166666666667,0.8989583333333333,0.8885416666666667,0.7791666666666667
Latin Hypercube (nn),50,0.9729166666666667,0.9145833333333333,0.5114583333333333,0.9291666666666667,0.871875,0.7583333333333333
Latin Hypercube (nn),51,0.9854166666666667,0.9177083333333333,0.48854166666666665,0.8979166666666667,0.875,0.8010416666666667
Latin Hypercube (nn),52,0.9760416666666667,0.915625,0.509375,0.884375,0.8729166666666667,0.7708333333333334
Latin Hypercube (nn),53,0.9854166666666667,0.9135416666666667,0.5260416666666666,0.9010416666666666,0.8708333333333333,0.7625
Latin Hypercube (nn),54,0.9791666666666666,0.9125,0.5291666666666667,0.8666666666666667,0.86875,0.7739583333333333
Latin Hypercube (nn),55,0.9833333333333333,0.91875,0.5197916666666667,0.89375,0.86875,0.7729166666666667
Latin Hypercube (nn),56,0.9822916666666667,0.9260416666666667,0.5052083333333334,0.9177083333333333,0.8916666666666667,0.7895833333333333
Latin Hypercube (nn),57,0.9854166666666667,0.9229166666666667,0.5239583333333333,0.8625,0.90625,0.7739583333333333
Latin Hypercube (nn),58,0.984375,0.934375,0.540625,0.8927083333333333,0.878125,0.7625
Latin Hypercube (nn),59,0.9864583333333333,0.9197916666666667,0.5145833333333333,0.9104166666666667,0.8625,0.7760416666666666
Latin Hypercube (rnd),0,0.975,0.8114583333333333,0.565625,0.8239583333333333,0.6479166666666667,0.971875
Latin Hypercube (rnd),1,0.9729166666666667,0.790625,0.6260416666666667,0.7947916666666667,0.7697916666666667,0.9708333333333333
