test_id,repetition,function,sample_n,sampler,feature,value
593,4,17,100,"Latin Hypercube (nn)",sss.skew,12.7350767688331
593,4,17,100,"Latin Hypercube (nn)",sss.skew_p,3.77474627139689e-37
593,4,17,100,"Latin Hypercube (nn)",sss.weight.0,0.901206699576976
593,4,17,100,"Latin Hypercube (nn)",sss.weight.1,0.0987933004230238
593,4,17,100,"Latin Hypercube (nn)",sss.mean.0,0.0352846322932841
593,4,17,100,"Latin Hypercube (nn)",sss.mean.1,0.151583884317833
593,4,17,100,"Latin Hypercube (nn)",sss.cov.0,0.000296766255522812
593,4,17,100,"Latin Hypercube (nn)",sss.cov.1,0.011842824780192
594,4,18,100,"Latin Hypercube (nn)",sss.mean,0.0446534609241774
594,4,18,100,"Latin Hypercube (nn)",sss.std,0.0409888061244592
594,4,18,100,"Latin Hypercube (nn)",sss.max,0.273536158687575
594,4,18,100,"Latin Hypercube (nn)",sss.skew,10.3730804308117
594,4,18,100,"Latin Hypercube (nn)",sss.skew_p,3.28752878572091e-25
594,4,18,100,"Latin Hypercube (nn)",sss.weight.0,0.952701497584737
594,4,18,100,"Latin Hypercube (nn)",sss.weight.1,0.0472985024152629
594,4,18,100,"Latin Hypercube (nn)",sss.mean.0,0.0369577065832867
594,4,18,100,"Latin Hypercube (nn)",sss.mean.1,0.19966379552718
594,4,18,100,"Latin Hypercube (nn)",sss.cov.0,0.000403333304443025
594,4,18,100,"Latin Hypercube (nn)",sss.cov.1,0.00219678263856246
595,4,19,100,"Latin Hypercube (nn)",sss.mean,0.0475840966269748
595,4,19,100,"Latin Hypercube (nn)",sss.std,0.0582907923792405
595,4,19,100,"Latin Hypercube (nn)",sss.max,0.638107458088121
595,4,19,100,"Latin Hypercube (nn)",sss.skew,13.9783132722812
595,4,19,100,"Latin Hypercube (nn)",sss.skew_p,2.11439917805664e-44
595,4,19,100,"Latin Hypercube (nn)",sss.weight.0,0.932452981841097
595,4,19,100,"Latin Hypercube (nn)",sss.weight.1,0.0675470181589035
595,4,19,100,"Latin Hypercube (nn)",sss.mean.0,0.0367509216919955
595,4,19,100,"Latin Hypercube (nn)",sss.mean.1,0.197130687227971
595,4,19,100,"Latin Hypercube (nn)",sss.cov.0,0.000315478060313079
595,4,19,100,"Latin Hypercube (nn)",sss.cov.1,0.0219785222458315
596,4,20,100,"Latin Hypercube (nn)",sss.mean,0.0477294904863943
596,4,20,100,"Latin Hypercube (nn)",sss.std,0.0559951950843097
596,4,20,100,"Latin Hypercube (nn)",sss.max,0.621294719310394
596,4,20,100,"Latin Hypercube (nn)",sss.skew,13.8223091666659
596,4,20,100,"Latin Hypercube (nn)",sss.skew_p,1.86974325670073e-43
596,4,20,100,"Latin Hypercube (nn)",sss.weight.0,0.994974874371859
596,4,20,100,"Latin Hypercube (nn)",sss.weight.1,0.00502512562814072
596,4,20,100,"Latin Hypercube (nn)",sss.mean.0,0.0448326964014246
