run,dimensions,sample_n,sampler,dh
3,5,1000,Hilbert curve 0.7,1.5017043192253405
3,10,100,Latin Hypercube,4.994749937337743
3,10,100,Random walk,7.902381890144167
3,10,100,Hilbert curve 0.1,5.247690887764079
3,10,100,Hilbert curve 0.3,4.963298545406799
3,10,100,Hilbert curve 0.5,4.904791506918722
3,10,100,Hilbert curve 0.7,4.932484752939108
3,10,316,Latin Hypercube,4.428281419111126
3,10,316,Random walk,7.347450022039744
3,10,316,Hilbert curve 0.1,4.547285497370369
3,10,316,Hilbert curve 0.3,4.3227457523767185
3,10,316,Hilbert curve 0.5,4.355551226737139
3,10,316,Hilbert curve 0.7,4.49272053243207
3,10,1000,Latin Hypercube,3.8775961362222042
3,10,1000,Random walk,7.520404683734052
3,10,1000,Hilbert curve 0.1,3.965411582850995
3,10,1000,Hilbert curve 0.3,3.8046440712032314
3,10,1000,Hilbert curve 0.5,3.8808486985814197
3,10,1000,Hilbert curve 0.7,4.04523808332827
3,20,100,Latin Hypercube,9.990094286703767
3,20,100,Random walk,12.564892934468588
3,20,100,Hilbert curve 0.1,10.281906393328711
3,20,100,Hilbert curve 0.3,9.644342238240364
3,20,100,Hilbert curve 0.5,9.442209913987732
3,20,100,Hilbert curve 0.7,9.345416214104178
3,20,316,Latin Hypercube,9.248323413858335
3,20,316,Random walk,12.395787255789097
3,20,316,Hilbert curve 0.1,9.478450296978659
3,20,316,Hilbert curve 0.3,8.95069914795266
3,20,316,Hilbert curve 0.5,8.782919797526404
3,20,316,Hilbert curve 0.7,8.776657650429437
3,20,1000,Latin Hypercube,8.592589057871006
3,20,1000,Random walk,12.526650574834406
3,20,1000,Hilbert curve 0.1,8.775713080346794
3,20,1000,Hilbert curve 0.3,8.287890259487869
3,20,1000,Hilbert curve 0.5,8.198710227878516
3,20,1000,Hilbert curve 0.7,8.28161466181771
3,30,100,Latin Hypercube,13.864811953234348
3,30,100,Random walk,16.958041662815358
3,30,100,Hilbert curve 0.1,14.625938558224243
3,30,100,Hilbert curve 0.3,13.563594110992785
3,30,100,Hilbert curve 0.5,13.01703498862707
3,30,100,Hilbert curve 0.7,12.843718104424843
3,30,316,Latin Hypercube,13.131964185615981
3,30,316,Random walk,16.88638520436357
3,30,316,Hilbert curve 0.1,13.762704715998595
3,30,316,Hilbert curve 0.3,12.73008108027777
3,30,316,Hilbert curve 0.5,12.364262925627376
3,30,316,Hilbert curve 0.7,12.22509603008263
3,30,1000,Latin Hypercube,12.491874552600018
3,30,1000,Random walk,16.024108799630927
3,30,1000,Hilbert curve 0.1,13.05471367365407
3,30,1000,Hilbert curve 0.3,12.05166847335027
3,30,1000,Hilbert curve 0.5,11.747159790582266
3,30,1000,Hilbert curve 0.7,11.683291819232712
4,5,100,Latin Hypercube,2.098248758888789
4,5,100,Random walk,3.611791547680288
4,5,100,Hilbert curve 0.1,2.155993082977261
4,5,100,Hilbert curve 0.3,2.051698727834957
4,5,100,Hilbert curve 0.5,2.048353143464845
4,5,100,Hilbert curve 0.7,2.245610426044028
4,5,316,Latin Hypercube,1.621584913350478
4,5,316,Random walk,4.089724539394631
4,5,316,Hilbert curve 0.1,1.6794417036939202
4,5,316,Hilbert curve 0.3,1.6254328750004337
4,5,316,Hilbert curve 0.5,1.6618079151316827
4,5,316,Hilbert curve 0.7,1.8495943016454417
4,5,1000,Latin Hypercube,1.265040338969361
4,5,1000,Random walk,4.374176770563668
4,5,1000,Hilbert curve 0.1,1.2808669616998216
4,5,1000,Hilbert curve 0.3,1.274738673815454
4,5,1000,Hilbert curve 0.5,1.3819735023558457
4,5,1000,Hilbert curve 0.7,1.5090534087695766
4,10,100,Latin Hypercube,5.0622201111378
4,10,100,Random walk,7.27947882874205
4,10,100,Hilbert curve 0.1,5.22835915040816
4,10,100,Hilbert curve 0.3,4.961322222939624
4,10,100,Hilbert curve 0.5,4.907801700922763
4,10,100,Hilbert curve 0.7,4.997711115330971
4,10,316,Latin Hypercube,4.423010329645827
4,10,316,Random walk,7.498884572318292
4,10,316,Hilbert curve 0.1,4.564924621626415
4,10,316,Hilbert curve 0.3,4.314275631040213
4,10,316,Hilbert curve 0.5,4.3493824843603175
4,10,316,Hilbert curve 0.7,4.43725408577361
4,10,1000,Latin Hypercube,3.879408933671793
4,10,1000,Random walk,6.9454141333360475
4,10,1000,Hilbert curve 0.1,3.976590561322604
4,10,1000,Hilbert curve 0.3,3.8122280492468024
4,10,1000,Hilbert curve 0.5,3.8918677507670227
4,10,1000,Hilbert curve 0.7,4.059910748177571
4,20,100,Latin Hypercube,9.955553590350402
4,20,100,Random walk,12.693327832004146
4,20,100,Hilbert curve 0.1,10.275723957623876
4,20,100,Hilbert curve 0.3,9.675953954456306
4,20,100,Hilbert curve 0.5,9.47269983643523
4,20,100,Hilbert curve 0.7,9.321427896492706
4,20,316,Latin Hypercube,9.246877095914673
4,20,316,Random walk,12.90548061332832
4,20,316,Hilbert curve 0.1,9.48536453988647
4,20,316,Hilbert curve 0.3,8.905871826341743
4,20,316,Hilbert curve 0.5,8.768549752683679
4,20,316,Hilbert curve 0.7,8.78991995908805
4,20,1000,Latin Hypercube,8.594855793904014
4,20,1000,Random walk,12.683137372317283
4,20,1000,Hilbert curve 0.1,8.766318743478289
4,20,1000,Hilbert curve 0.3,8.297184274717965
4,20,1000,Hilbert curve 0.5,8.198289696222643
4,20,1000,Hilbert curve 0.7,8.278581089247554
4,30,100,Latin Hypercube,13.882144096437063
4,30,100,Random walk,16.89094715284219
4,30,100,Hilbert curve 0.1,14.60047062101224
4,30,100,Hilbert curve 0.3,13.511343618784696
4,30,100,Hilbert curve 0.5,13.065115601495815
4,30,100,Hilbert curve 0.7,12.875337932685191
4,30,316,Latin Hypercube,13.137748886473155
4,30,316,Random walk,16.242044930991757
4,30,316,Hilbert curve 0.1,13.79101595347233
4,30,316,Hilbert curve 0.3,12.73262375293551
4,30,316,Hilbert curve 0.5,12.360900773228414
4,30,316,Hilbert curve 0.7,12.205947469105823
4,30,1000,Latin Hypercube,12.484370269773912
4,30,1000,Random walk,16.10827238771984
4,30,1000,Hilbert curve 0.1,13.022826093596525
4,30,1000,Hilbert curve 0.3,12.078547835717442
4,30,1000,Hilbert curve 0.5,11.740910649263933
4,30,1000,Hilbert curve 0.7,11.68263558912181
5,5,100,Latin Hypercube,2.1054603192126407
5,5,100,Random walk,3.8961064307932003
5,5,100,Hilbert curve 0.1,2.179550859598623
5,5,100,Hilbert curve 0.3,2.0373641300919676
5,5,100,Hilbert curve 0.5,2.091148727837559
5,5,100,Hilbert curve 0.7,2.1492651501170794
5,5,316,Latin Hypercube,1.6360778131830267
5,5,316,Random walk,4.227382209276105
5,5,316,Hilbert curve 0.1,1.6614065359821308
5,5,316,Hilbert curve 0.3,1.5941126699886878
5,5,316,Hilbert curve 0.5,1.7464755404142367
5,5,316,Hilbert curve 0.7,1.7922419229929016
5,5,1000,Latin Hypercube,1.2670093788507415
5,5,1000,Random walk,3.706003298232462
5,5,1000,Hilbert curve 0.1,1.2929563803399478
5,5,1000,Hilbert curve 0.3,1.2766363893552302
5,5,1000,Hilbert curve 0.5,1.4499396303146685
5,5,1000,Hilbert curve 0.7,1.5519028170228648
5,10,100,Latin Hypercube,5.067927307314803
5,10,100,Random walk,7.7758523370846335
5,10,100,Hilbert curve 0.1,5.284224495357741
5,10,100,Hilbert curve 0.3,4.959375197685932
5,10,100,Hilbert curve 0.5,4.929669064548935
5,10,100,Hilbert curve 0.7,4.993167503516057
5,10,316,Latin Hypercube,4.404021414772421
5,10,316,Random walk,8.195829747331487
5,10,316,Hilbert curve 0.1,4.563603926319903
5,10,316,Hilbert curve 0.3,4.333326899696218
5,10,316,Hilbert curve 0.5,4.372234852809443
5,10,316,Hilbert curve 0.7,4.514911112399814
5,10,1000,Latin Hypercube,3.8811335631807684
5,10,1000,Random walk,7.684956904033233
5,10,1000,Hilbert curve 0.1,3.962272924556666
5,10,1000,Hilbert curve 0.3,3.805656544430138
5,10,1000,Hilbert curve 0.5,3.896817332256327
5,10,1000,Hilbert curve 0.7,4.045651321266845
5,20,100,Latin Hypercube,9.960763024697203
5,20,100,Random walk,12.758916153443163
5,20,100,Hilbert curve 0.1,10.270509141576659
5,20,100,Hilbert curve 0.3,9.643957771596444
5,20,100,Hilbert curve 0.5,9.447259997332914
5,20,100,Hilbert curve 0.7,9.279782729842413
5,20,316,Latin Hypercube,9.260347710736662
5,20,316,Random walk,12.639236438248659
5,20,316,Hilbert curve 0.1,9.476757704872101
5,20,316,Hilbert curve 0.3,8.94580530960881
5,20,316,Hilbert curve 0.5,8.79299533033485
5,20,316,Hilbert curve 0.7,8.758132250888725
5,20,1000,Latin Hypercube,8.59411181159689
5,20,1000,Random walk,12.291338170996383
5,20,1000,Hilbert curve 0.1,8.776590385304848
5,20,1000,Hilbert curve 0.3,8.279056493382447
5,20,1000,Hilbert curve 0.5,8.192324130559161
5,20,1000,Hilbert curve 0.7,8.251549078945784
5,30,100,Latin Hypercube,13.863125572514107
5,30,100,Random walk,16.38511970438625
5,30,100,Hilbert curve 0.1,14.636045643490965
5,30,100,Hilbert curve 0.3,13.573709521309668
5,30,100,Hilbert curve 0.5,13.010988664186032
5,30,100,Hilbert curve 0.7,12.807865767969318
5,30,316,Latin Hypercube,13.156833442834028
5,30,316,Random walk,15.948316799759173
5,30,316,Hilbert curve 0.1,13.787641347678067
5,30,316,Hilbert curve 0.3,12.752549199911423
5,30,316,Hilbert curve 0.5,12.32408065916982
5,30,316,Hilbert curve 0.7,12.217143942034086
5,30,1000,Latin Hypercube,12.493233474952872
5,30,1000,Random walk,16.238582683663818
5,30,1000,Hilbert curve 0.1,13.036471035408038
5,30,1000,Hilbert curve 0.3,12.070183034406465
5,30,1000,Hilbert curve 0.5,11.750450303337495
5,30,1000,Hilbert curve 0.7,11.677345301399937
6,5,100,Latin Hypercube,2.080249901947046
6,5,100,Random walk,4.324181813058847
6,5,100,Hilbert curve 0.1,2.194091295129242
6,5,100,Hilbert curve 0.3,2.0693936295436886
6,5,100,Hilbert curve 0.5,2.1140886750444063
6,5,100,Hilbert curve 0.7,2.186369146473424
6,5,316,Latin Hypercube,1.6254826430487586
6,5,316,Random walk,3.5556388573254325
6,5,316,Hilbert curve 0.1,1.6669269883302635
6,5,316,Hilbert curve 0.3,1.633583235087367
6,5,316,Hilbert curve 0.5,1.701045562365465
6,5,316,Hilbert curve 0.7,1.752687219554428
6,5,1000,Latin Hypercube,1.2652270360855364
6,5,1000,Random walk,3.5337878103750655
6,5,1000,Hilbert curve 0.1,1.2677486788016243
6,5,1000,Hilbert curve 0.3,1.275903100681465
6,5,1000,Hilbert curve 0.5,1.4359780179344759
6,5,1000,Hilbert curve 0.7,1.5380250209191746
6,10,100,Latin Hypercube,5.048430295035851
6,10,100,Random walk,7.617316282612565
6,10,100,Hilbert curve 0.1,5.266906593953862
6,10,100,Hilbert curve 0.3,4.996673929340748
6,10,100,Hilbert curve 0.5,4.897951708430772
6,10,100,Hilbert curve 0.7,5.040108707297938
6,10,316,Latin Hypercube,4.4263730425285255
6,10,316,Random walk,7.47396569139513
6,10,316,Hilbert curve 0.1,4.565155571123393
6,10,316,Hilbert curve 0.3,4.345249563847705
6,10,316,Hilbert curve 0.5,4.385361006750983
6,10,316,Hilbert curve 0.7,4.435152531232996
6,10,1000,Latin Hypercube,3.877706042424908
6,10,1000,Random walk,7.562667223877424
6,10,1000,Hilbert curve 0.1,3.981528598912515
6,10,1000,Hilbert curve 0.3,3.800262418258953
6,10,1000,Hilbert curve 0.5,3.9103704496830636
6,10,1000,Hilbert curve 0.7,4.032260738368949
6,20,100,Latin Hypercube,9.93156038080563
6,20,100,Random walk,12.48824824285279
6,20,100,Hilbert curve 0.1,10.250489778955334
6,20,100,Hilbert curve 0.3,9.705517863144635
6,20,100,Hilbert curve 0.5,9.46400356572419
6,20,100,Hilbert curve 0.7,9.38765686420555
6,20,316,Latin Hypercube,9.228274475785192
6,20,316,Random walk,12.199248487871591
6,20,316,Hilbert curve 0.1,9.476249173644137
6,20,316,Hilbert curve 0.3,8.927509089569426
6,20,316,Hilbert curve 0.5,8.782565357703488
6,20,316,Hilbert curve 0.7,8.771309855017126
6,20,1000,Latin Hypercube,8.59497145602471
6,20,1000,Random walk,12.057748918448011
6,20,1000,Hilbert curve 0.1,8.758793947251672
6,20,1000,Hilbert curve 0.3,8.284845566674678
6,20,1000,Hilbert curve 0.5,8.210830258445215
6,20,1000,Hilbert curve 0.7,8.256736737392428
6,30,100,Latin Hypercube,13.85191166415476
6,30,100,Random walk,16.414077746117353
6,30,100,Hilbert curve 0.1,14.668565220933974
6,30,100,Hilbert curve 0.3,13.482692271875884
6,30,100,Hilbert curve 0.5,13.0577814568111
6,30,100,Hilbert curve 0.7,12.822271968606731
6,30,316,Latin Hypercube,13.155031246808983
6,30,316,Random walk,16.624160532174184
6,30,316,Hilbert curve 0.1,13.784488380048577
6,30,316,Hilbert curve 0.3,12.726240623036633
6,30,316,Hilbert curve 0.5,12.355617412875928
6,30,316,Hilbert curve 0.7,12.227822374950899
6,30,1000,Latin Hypercube,12.491260170898379
6,30,1000,Random walk,15.958463132141132
6,30,1000,Hilbert curve 0.1,13.042516171187417
6,30,1000,Hilbert curve 0.3,12.062345335800613
6,30,1000,Hilbert curve 0.5,11.737768905930785
6,30,1000,Hilbert curve 0.7,11.67580576670329
7,5,100,Latin Hypercube,2.0913654538153525
7,5,100,Random walk,3.856817943838623
7,5,100,Hilbert curve 0.1,2.1633816548158293
7,5,100,Hilbert curve 0.3,2.0485424058316517
7,5,100,Hilbert curve 0.5,2.076811209781883
7,5,100,Hilbert curve 0.7,2.130815922750025
7,5,316,Latin Hypercube,1.6373126858430014
7,5,316,Random walk,3.5637103509869545
7,5,316,Hilbert curve 0.1,1.673091667286156
7,5,316,Hilbert curve 0.3,1.6083563135919006
7,5,316,Hilbert curve 0.5,1.6872727289128704
7,5,316,Hilbert curve 0.7,1.8967519945064204
7,5,1000,Latin Hypercube,1.2739851694889184
7,5,1000,Random walk,3.514496965096575
7,5,1000,Hilbert curve 0.1,1.2962589749501894
7,5,1000,Hilbert curve 0.3,1.2696597050336589
7,5,1000,Hilbert curve 0.5,1.4110058386197664
7,5,1000,Hilbert curve 0.7,1.5455720752746849
7,10,100,Latin Hypercube,5.086711878086338
7,10,100,Random walk,7.8559205190374914
7,10,100,Hilbert curve 0.1,5.2688299223134045
7,10,100,Hilbert curve 0.3,4.968066031058448
7,10,100,Hilbert curve 0.5,4.930617311484215
7,10,100,Hilbert curve 0.7,5.035489016342177
7,10,316,Latin Hypercube,4.435597875797876
7,10,316,Random walk,7.212871799875289
7,10,316,Hilbert curve 0.1,4.54618511556576
7,10,316,Hilbert curve 0.3,4.356012568683185
7,10,316,Hilbert curve 0.5,4.358086454341689
7,10,316,Hilbert curve 0.7,4.459201523697572
7,10,1000,Latin Hypercube,3.8789382636942378
7,10,1000,Random walk,7.872388931522154
7,10,1000,Hilbert curve 0.1,3.9658009195292254
7,10,1000,Hilbert curve 0.3,3.808805245957307
7,10,1000,Hilbert curve 0.5,3.885106550111512
7,10,1000,Hilbert curve 0.7,4.0307573999513435
7,20,100,Latin Hypercube,9.929366337862632
7,20,100,Random walk,12.978932894432143
7,20,100,Hilbert curve 0.1,10.259246681853224
7,20,100,Hilbert curve 0.3,9.689665297528165
7,20,100,Hilbert curve 0.5,9.412294133110187
7,20,100,Hilbert curve 0.7,9.368219828510012
7,20,316,Latin Hypercube,9.251258503834451
7,20,316,Random walk,12.823410369692066
7,20,316,Hilbert curve 0.1,9.45290924595589
7,20,316,Hilbert curve 0.3,8.935271959723108
7,20,316,Hilbert curve 0.5,8.790548903939593
7,20,316,Hilbert curve 0.7,8.75579451741836
7,20,1000,Latin Hypercube,8.600569818179363
7,20,1000,Random walk,12.736426496935973
7,20,1000,Hilbert curve 0.1,8.74753920035
7,20,1000,Hilbert curve 0.3,8.29629193734232
7,20,1000,Hilbert curve 0.5,8.208506829909544
7,20,1000,Hilbert curve 0.7,8.264562542854074
7,30,100,Latin Hypercube,13.881227896715565
