test_id,function,dimensions,sample_n,sampler,feature,value,n
105,9,5,316,Latin Hypercube (nn),t.ic.calculate,1.3247362000001885,1580
106,10,5,316,Latin Hypercube (nn),t.generation,0.0005135999999765772,1580
106,10,5,316,Latin Hypercube (nn),t.ic.calculate,1.4906991999996535,1580
107,11,5,316,Latin Hypercube (nn),t.generation,0.00047679999988758937,1580
107,11,5,316,Latin Hypercube (nn),t.ic.calculate,1.4856825999995635,1580
108,12,5,316,Latin Hypercube (nn),t.generation,0.00045529999988502823,1580
108,12,5,316,Latin Hypercube (nn),t.ic.calculate,1.6836419999999634,1580
109,13,5,316,Latin Hypercube (nn),t.generation,0.00051059999896097,1580
109,13,5,316,Latin Hypercube (nn),t.ic.calculate,1.1311922000022605,1580
110,14,5,316,Latin Hypercube (nn),t.generation,0.0004411000008985866,1580
110,14,5,316,Latin Hypercube (nn),t.ic.calculate,1.0590881999996782,1580
111,15,5,316,Latin Hypercube (nn),t.generation,0.000536600000486942,1580
111,15,5,316,Latin Hypercube (nn),t.ic.calculate,1.1310747999996238,1580
112,16,5,316,Latin Hypercube (nn),t.generation,0.0005082000025140587,1580
112,16,5,316,Latin Hypercube (nn),t.ic.calculate,1.031609199999366,1580
113,17,5,316,Latin Hypercube (nn),t.generation,0.0004958999998052604,1580
113,17,5,316,Latin Hypercube (nn),t.ic.calculate,1.0593716000003042,1580
114,18,5,316,Latin Hypercube (nn),t.generation,0.0005063000025984365,1580
114,18,5,316,Latin Hypercube (nn),t.ic.calculate,1.091523800001596,1580
115,19,5,316,Latin Hypercube (nn),t.generation,0.0005037000009906478,1580
115,19,5,316,Latin Hypercube (nn),t.ic.calculate,1.0518097000021953,1580
116,20,5,316,Latin Hypercube (nn),t.generation,0.0004440000011527445,1580
116,20,5,316,Latin Hypercube (nn),t.ic.calculate,1.2880221999985224,1580
117,21,5,316,Latin Hypercube (nn),t.generation,0.0005292999994708225,1580
117,21,5,316,Latin Hypercube (nn),t.ic.calculate,1.0216951000002155,1580
118,22,5,316,Latin Hypercube (nn),t.generation,0.0005074000000604428,1580
118,22,5,316,Latin Hypercube (nn),t.ic.calculate,1.009598199998436,1580
119,23,5,316,Latin Hypercube (nn),t.generation,0.0005151999976078514,1580
119,23,5,316,Latin Hypercube (nn),t.ic.calculate,1.0329592000016419,1580
120,24,5,316,Latin Hypercube (nn),t.generation,0.0004986000021744985,1580
120,24,5,316,Latin Hypercube (nn),t.ic.calculate,1.0538620999977866,1580
121,1,5,316,Latin Hypercube (hc),t.generation,0.0005087999998067971,1580
121,1,5,316,Latin Hypercube (hc),t.ic.calculate,1.1237715999995999,1580
122,2,5,316,Latin Hypercube (hc),t.generation,0.0005025999998906627,1580
122,2,5,316,Latin Hypercube (hc),t.ic.calculate,1.573310700001457,1580
123,3,5,316,Latin Hypercube (hc),t.generation,0.000507200002175523,1580
123,3,5,316,Latin Hypercube (hc),t.ic.calculate,1.182998200001748,1580
124,4,5,316,Latin Hypercube (hc),t.generation,0.0004791000028490089,1580
124,4,5,316,Latin Hypercube (hc),t.ic.calculate,1.2379777999994985,1580
125,5,5,316,Latin Hypercube (hc),t.generation,0.0004937000012432691,1580
125,5,5,316,Latin Hypercube (hc),t.ic.calculate,1.124168300000747,1580
126,6,5,316,Latin Hypercube (hc),t.generation,0.00044519999937620014,1580
126,6,5,316,Latin Hypercube (hc),t.ic.calculate,1.4380650999992213,1580
127,7,5,316,Latin Hypercube (hc),t.generation,0.0005541000027733389,1580
